,topic,name,user,star,fork,watch,issue,pull_requests,projects,topic_tag,discription_text,discription_url,commits,branches,packages,releases,contributers,License,url
33,java,funNLP,fighting41love,19.6k,5.9k,895,1,0,0,[],中英文敏感词、语言检测、中外手机/电话归属地/运营商查询、名字推断性别、手机号抽取、身份证抽取、邮箱抽取、中日文人名库、中文缩写库、拆字词典、词汇情感值、停用词、反动词表、暴恐词表、繁简体转换、英文模拟中文发音、汪峰歌词生成器、职业名称词库、同义词库、反义词库、否定词库、汽车品牌词库、汽车零件词库、连续英文切割、各种中文词向量、公司名字大全、古诗词库、IT词库、财经词库、成语词库、地名词库、历史名人词库、诗词词库、医学词库、饮食词库、法律词库、汽车词库、动物词库、中文聊天语料、中文谣言数据、百度中文问答数据集、句子相似度匹配算法集合、bert资源、文本生成&摘要相关工具、cocoNLP信息抽取工具、国内电话号码正则匹配、清华大学XLORE:中英文跨语言百科知识图谱、清华大学人工智能技术…,https://zhuanlan.zhihu.com/yangyangfu…,115,1,0,0,0,"8
    
    contributors",https://github.com/fighting41love/funNLP
34,java,xgboost,dmlc,18.9k,7.5k,989,210,24,1,"['gbdt', 'gbrt', 'gbm', 'distributed-systems', 'xgboost', 'machine-learning']","Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and more. Runs on single machine, Hadoop, Spark, Flink and DataFlow",https://xgboost.ai/,"4,176",8,0,0,19,Apache-2.0,https://github.com/dmlc/xgboost
35,java,javascript-questions,lydiahallie,18.1k,2.2k,573,27,23,0,[],"A long list of (advanced) JavaScript questions, and their explanations ✨",,825,2,0,0,0,MIT,https://github.com/lydiahallie/javascript-questions
36,java,gson,google,17.7k,3.5k,738,409,100,,[],A Java serialization/deserialization library to convert Java Objects into JSON and back,,"1,483",14,0,0,40,Apache-2.0,https://github.com/google/gson
37,java,selenium,SeleniumHQ,17.5k,5.6k,1.3k,386,65,2,"['selenium', 'webdriver', 'java', 'ruby', 'python', 'javascript', 'dotnet']",A browser automation framework and ecosystem.,https://selenium.dev,"25,023",19,0,0,124,Apache-2.0,https://github.com/SeleniumHQ/selenium
38,java,libgdx,libgdx,16.8k,6k,1.3k,276,92,0,"['libgdx', 'java', 'game', 'cross-platform', 'android', 'ios', 'html5', 'windows', 'linux', 'macosx', '2d', '3d', 'framework']",Desktop/Android/HTML5/iOS Java game development framework,http://www.libgdx.com/,"14,125",7,0,0,46,View license,https://github.com/libgdx/libgdx
39,java,CNTK,microsoft,16.8k,4.4k,1.4k,736,87,,"['cognitive-toolkit', 'cntk', 'deep-learning', 'machine-learning', 'deep-neural-networks', 'neural-network', 'distributed', 'python', 'c-plus-plus', 'c-sharp', 'java']","Microsoft Cognitive Toolkit (CNTK), an open source deep-learning toolkit",https://docs.microsoft.com/cognitive-…,"16,116","1,069",0,0,39,View license,https://github.com/microsoft/CNTK
40,java,generator-jhipster,jhipster,16k,3.3k,814,73,35,0,"['angular', 'spring-boot', 'webpack', 'java', 'docker', 'yeoman-generator', 'generator', 'react', 'kubernetes', 'cloud', 'jhipster']",Open Source application platform for creating Spring Boot + Angular/React projects in seconds!,https://www.jhipster.tech,"21,492",10,0,0,208,Apache-2.0,https://github.com/jhipster/generator-jhipster
41,java,IntelliJ-IDEA-Tutorial,judasn,15.6k,6.6k,1.8k,1,0,0,"['intellij', 'java', 'tutorial', 'intellij-idea', 'jetbrains', 'webstorm', 'phpstorm', 'pycharm', 'rubymine', 'android-studio', 'datagrip', 'clion', 'gogland']",IntelliJ IDEA 简体中文专题教程,,439,1,0,0,0,GPL-2.0,https://github.com/judasn/IntelliJ-IDEA-Tutorial
42,java,ExoPlayer,google,15.4k,4.6k,860,394,15,0,"['android', 'mediaplayer', 'java', 'exoplayer']",An extensible media player for Android,,"7,864",12,0,0,164,Apache-2.0,https://github.com/google/ExoPlayer
43,java,Android-CleanArchitecture,android10,14.2k,3.2k,865,124,18,0,"['android-cleanarchitecture', 'architectural', 'java', 'android-application', 'android', 'android-development', 'android-architecture']",This is a sample app that is part of a series of blog posts I have written about how to architect an android application using Uncle Bob's clean architecture approach.,,244,2,0,0,6,Apache-2.0,https://github.com/android10/Android-CleanArchitecture
44,java,flatbuffers,google,14.2k,2.2k,648,203,80,16,"['flatbuffers', 'serialization', 'serialization-library', 'json-parser', 'marshalling', 'rpc', 'zero-copy', 'mmap', 'cross-platform', 'c-plus-plus', 'java', 'c-sharp', 'go', 'python', 'rust', 'javascript', 'typescript', 'grpc', 'c', 'protobuf']",FlatBuffers: Memory Efficient Serialization Library,http://google.github.io/flatbuffers/,"1,905",7,0,0,18,Apache-2.0,https://github.com/google/flatbuffers
45,java,easyexcel,alibaba,14.1k,3.7k,517,12,5,0,"['excel', 'poi', 'jxl', 'xls', 'xlsx', 'java', 'oom']",快速、简单避免OOM的java处理Excel工具,,376,4,0,0,25,Apache-2.0,https://github.com/alibaba/easyexcel
46,java,toBeTopJavaer,hollischuang,13.6k,3.2k,693,7,1,0,"['java', 'programmer', 'jvm', 'spring', 'mysql', 'design-patterns']",To Be Top Javaer - Java工程师成神之路,https://www.hollischuang.com,123,1,0,0,0,Fetching contributors,https://github.com/hollischuang/toBeTopJavaer
